Code Isbn/Ean;IdAuteur;Titre;Prix vente;Stock initial;Vendu librairie;Vendu médiat.;Offert;Stock final;A facturer;Total vendu;Prix total;Nom auteur;Pourcentage;Part auteur;Part librairie
9782916662657;9;Prise de bec;13;5;4;0;0;1;0;4;52;Janer Nathalie;90;46,8;5,2;
9782916662985;9;Panique à la ferme;12;2;2;0;0;0;0;2;24;Janer Nathalie;90;21,6;2,4;
9782917443002;4;Ondine et la cérémonie des fées;16,5;5;3;0;0;2;0;3;49,5;Peultier Christian;90;44,55;4,95;
9782917443019;4;Mirabelle T5 Sur la route des vacances;14,95;3;3;0;0;0;0;3;44,85;Peultier Christian;90;40,36;4,48;
9782917443033;4;NUAGE T1 Le don de la nature;15;15;15;0;0;0;0;15;225;Peultier Christian;90;202,5;22,5;
9782917443040;4;NUAGE T2 Le bois sacré;15;7;7;0;0;0;0;7;105;Peultier Christian;90;94,5;10,5;
9782917443057;4;NUAGE T3 Au pays des hommes léopards;15;7;7;0;0;0;0;7;105;Peultier Christian;90;94,5;10,5;
9782917443064;4;NUAGE T3 Version luxe;20;4;0;0;0;4;0;0;0;Peultier Christian;90;0;0;
9782917443071;4;Lune bleue;15;3;1;0;0;2;0;1;15;Peultier Christian;90;13,5;1,5;
9782952251631;5;J'apprends la BD - Les Comics;10;5;1;0;0;4;0;1;10;Brocard Philippe;90;9;1;
9782952794305;10;Les aventuriers de l'architecture;9,5;30;4;0;0;26;0;4;38;Biard Jean-François;90;34,2;3,8;
9782953500707;8;L’Avenir de Pronto;10;5;3;0;0;2;0;3;30;Jiguel Rémi;90;27;3;
9782953500714;8;Germaine la vache tome 2;10;7;6;0;0;1;0;6;60;Jiguel Rémi;90;54;6;
9782953500721;8;Ça PIIINCE !!! Sans rire ?;10;10;5;0;0;5;0;5;50;Jiguel Rémi;90;45;5;
9782953500738;8;Germaine la vache tome 1;10;7;6;0;0;1;0;6;60;Jiguel Rémi;90;54;6;
9782953500745;8;Chrono Games tome 1;10;5;1;0;0;4;0;1;10;Jiguel Rémi;90;9;1;
9782953669138;6;Le bête du Gévaudan - Intégralement bête;13;20;1;0;0;19;0;1;13;Chantelouve Franck;90;11,7;1,3;
9782953669145;6;La p'tite bête du Gévaudan ;8;21;9;0;0;12;0;9;72;Chantelouve Franck;90;64,8;7,2;
9782953669152;6;La p'tite bête du Gévaudan 2;8;20;9;0;0;11;0;9;72;Chantelouve Franck;90;64,8;7,2;
9782953669169;6;La p'tite bête du Gévaudan 3;8;20;8;0;0;12;0;8;64;Chantelouve Franck;90;57,6;6,4;
9782953910308;3;La petite Judith - L'atelier BD;6;5;1;0;0;4;0;1;6;Méry Thierry;90;5,4;0,6;
9782953910322;3;La petite Judith - La BD à colorier;8;5;1;0;0;4;0;1;8;Méry Thierry;90;7,2;0,8;
9782953910339;3;La petite Judith - Judith donne l'alerte;8;5;1;0;0;4;0;1;8;Méry Thierry;90;7,2;0,8;
9782953910346;3;Mister Kat - Retour de cuite;8;5;2;0;0;3;0;2;16;Méry Thierry;90;14,4;1,6;
9782953910353;3;Mister Kat - Tu t'es vu quand j'ai bu;8;5;1;0;0;4;0;1;8;Méry Thierry;90;7,2;0,8;
9782953910360;3;La petite Judith - Judith apprend la couture;8;5;3;0;0;2;0;3;24;Méry Thierry;90;21,6;2,4;
9782953910377;3;Mister Kat - Gueule de bois;8;5;0;0;0;5;0;0;0;Méry Thierry;90;0;0;
9782953910384;3;Mister Kat - Chroniques humoristiques;13;5;5;0;0;0;0;5;65;Méry Thierry;90;58,5;6,5;
